game_date,season,Visitor/Neutral,Home/Neutral,point_spread_visitor,point_spread_home,spread_odds_visitor,spread_odds_home,ml_odds_visitor,ml_odds_home,total,total_odds_visitor,total_odds_home
1/3/2015,14/15,MIA,HOU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/26/2014,14/15,HOU,MEM,2,-2,-110,-110,#N/A,#N/A,193,-110,-110
12/18/2014,14/15,NOP,HOU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/6/2014,14/15,PHX,HOU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/26/2014,14/15,SAC,HOU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/15/2015,14/15,MIA,PHI,2,-2,-110,-110,#N/A,#N/A,192,-110,-110
3/27/2015,14/15,MIA,ATL,8,-8,-110,-110,#N/A,#N/A,195,-115,-105
3/11/2015,14/15,BKN,MIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/4/2015,14/15,LAL,MIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/23/2015,14/15,PHI,MIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/4/2015,14/15,MIA,MIN,1.5,-1.5,-105,-115,#N/A,#N/A,189,-105,-115
2/3/2015,14/15,MIA,DET,3.5,-3.5,-105,-115,#N/A,#N/A,185,-110,-110
1/30/2015,14/15,DAL,MIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/3/2015,14/15,MIA,HOU,7,-7,-115,-105,#N/A,#N/A,198,-110,-110
12/19/2014,14/15,WAS,MIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/17/2014,14/15,UTA,MIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/14/2014,14/15,CHI,MIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/12/2014,14/15,MIA,UTA,2.5,-2.5,-110,-110,#N/A,#N/A,189,-110,-110
